city,Housing_level,Cost of Living_level,Safety_level,Healthcare_level,Education_level,Environmental Quality_level,Economy_level,Taxation_level,Internet Access_level,Leisure & Culture_level
amsterdam,Low,Medium,High,High,Medium,High,Medium,Medium,Medium,High
athens,High,Medium,Medium,High,Low,Medium,Low,Medium,Low,High
barcelona,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High
berlin,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,High
budapest,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High
lisbon,Medium,High,High,High,Medium,Medium,Low,Medium,Medium,High
london,Low,Medium,High,High,High,Medium,Medium,Medium,Medium,High
paris,Medium,Medium,Medium,High,High,Medium,Medium,Low,High,High
rome,Medium,Medium,Medium,High,Medium,Medium,Low,Low,Medium,High
vienna,Medium,Medium,High,High,Medium,High,Medium,Low,Medium,High
